hip,proper,bayer,ra,dec,mag,con
10306,,Eta,2.213355,21.210993,5.23,Ari
10328,,,2.217584,15.27986,5.72,Ari
10535,,,2.261884,25.043043,5.57,Ari
10540,,,2.262789,25.782937,5.79,Ari
10732,,The,2.302094,19.901164,5.58,Ari
10795,,,2.316097,23.167815,6.45,Ari
11249,,Xi,2.413627,10.610565,5.48,Ari
11415,,,2.452011,27.012395,6.14,Ari
11578,,,2.487133,23.469026,6.2,Ari
11670,,,2.508986,25.235036,5.88,Ari
11678,,,2.510671,19.855301,6.14,Ari
11698,,,2.51511,17.703856,6.21,Ari
11843,,,2.548372,15.034554,6.0,Ari
12153,,,2.610531,12.447639,5.64,Ari
12189,,,2.61681,24.647222,6.48,Ari
12332,,Nu,2.646943,21.961408,5.45,Ari
12489,,,2.678075,27.060943,5.3,Ari
12640,,Mu,2.706094,20.011465,5.74,Ari
12647,,,2.708038,10.741725,6.32,Ari
12719,,,2.724198,27.707146,4.65,Ari
12744,,,2.730901,25.638343,6.35,Ari
12784,,,2.738642,17.763928,6.4,Ari
12803,,Omi,2.742493,15.311862,5.78,Ari
12832,,,2.749328,12.445761,5.17,Ari
13061,Lilii Borea,,2.79848,29.247118,4.52,Ari
13108,,,2.808913,18.28379,5.83,Ari
13121,,,2.81275,25.188064,5.89,Ari
13165,,Pi,2.821544,17.464309,5.26,Ari
13209,Bharani,,2.833063,27.260507,3.61,Ari
13327,,Sig,2.858218,15.082071,5.52,Ari
13448,,,2.886582,16.48346,6.3,Ari
13654,,Rho-2,2.930138,18.33164,5.76,Ari
13702,,Rho-3,2.940596,18.023119,5.58,Ari
13834,,,2.968114,20.668733,5.8,Ari
13914,,Eps,2.986868,21.340429,4.63,Ari
14036,,,3.012261,10.870388,5.93,Ari
14109,,,3.031706,26.462354,5.91,Ari
14232,,,3.058376,28.269906,6.38,Ari
14318,,,3.077957,15.856023,6.37,Ari
14376,,,3.090747,25.255174,5.45,Ari
14439,,,3.106579,13.18725,5.64,Ari
14514,,,3.123798,17.879995,6.13,Ari
14586,,,3.139197,18.795053,6.24,Ari
14649,,,3.155592,20.761123,6.41,Ari
14677,,,3.160206,29.07708,5.74,Ari
14719,,,3.169122,27.819766,6.42,Ari
14748,,,3.174179,26.896233,6.02,Ari
14764,,,3.177443,11.872627,5.97,Ari
14821,,,3.189422,13.047845,6.11,Ari
14838,Botein,Del,3.193822,19.726677,4.35,Ari
14893,,,3.203957,27.256968,5.78,Ari
15110,,Zet,3.24836,21.044441,4.87,Ari
15154,,,3.255677,30.556689,5.61,Ari
15323,,,3.29446,31.127048,6.4,Ari
15514,,,3.332166,27.071134,5.91,Ari
15549,,,3.338989,29.048458,4.47,Ari
15557,,,3.340437,25.662739,6.14,Ari
15627,,Tau-1,3.353784,21.147086,5.27,Ari
15696,,,3.36997,27.607553,5.55,Ari
15737,,Tau-2,3.379234,20.742069,5.1,Ari
15800,,,3.393418,0.910087,6.47,Tau
15807,,,3.394164,4.882105,6.37,Tau
15850,,,3.402814,12.62959,6.03,Tau
15861,,,3.405132,24.724063,5.5,Ari
15870,,,3.407255,20.803489,6.07,Ari
15900,,Omi,3.413554,9.02887,3.61,Tau
16042,,,3.443163,28.715087,6.47,Ari
16083,,Xi,3.45282,9.73268,3.73,Tau
16095,,,3.455188,12.735289,6.29,Tau
16181,,,3.474046,22.804006,6.03,Ari
16226,,,3.48439,3.248704,6.41,Tau
