hip,proper,bayer,ra,dec,mag,con
41822,,The,8.526592,18.09442,5.33,Cnc
41833,,,8.528138,18.987732,6.5,Cnc
41904,,,8.544409,10.066008,6.48,Cnc
41909,,Eta,8.545139,20.441162,5.33,Cnc
41940,,Ups-2,8.55003,24.08479,6.35,Cnc
42010,,,8.562513,13.257311,6.26,Cnc
42049,,,8.570375,8.452339,6.04,Cnc
42172,,,8.597493,6.62022,5.91,Cnc
42187,,,8.602142,15.313632,6.33,Cnc
42265,,,8.61827,9.65558,5.92,Cnc
42365,,,8.638607,32.802021,5.96,Cnc
42462,,,8.656821,8.0176,6.46,Cnc
42516,,,8.66845,20.007788,6.39,Cnc
42538,,,8.671748,31.941898,6.21,Cnc
42549,,,8.672802,19.669938,6.42,Cnc
42556,Meleph,Eps,8.67417,19.544808,6.29,Cnc
42795,,,8.720091,12.680876,5.62,Cnc
42806,Asellus Borealis,Gam,8.721431,21.468501,4.66,Cnc
42911,Asellus Australis,Del,8.74475,18.154309,3.94,Cnc
42917,,,8.745844,10.08167,5.63,Cnc
42954,,,8.755951,30.697752,6.12,Cnc
43103,,Iot,8.778284,28.759898,4.03,Cnc
43121,,,8.782227,12.109952,5.89,Cnc
43427,,,8.845868,18.832183,6.41,Cnc
43454,,,8.850407,15.350651,6.36,Cnc
43575,,,8.874608,28.259159,6.25,Cnc
43584,,Sig-1,8.876284,32.474157,5.67,Cnc
43587,Copernicus,Rho-1,8.876625,28.330819,5.96,Cnc
43721,,,8.904091,30.579115,5.4,Cnc
43811,,,8.923022,17.231276,6.28,Cnc
43834,,Rho-2,8.927689,27.927481,5.23,Cnc
43851,,,8.932097,11.626023,5.44,Cnc
43932,,Sig-2,8.949056,32.91043,5.44,Cnc
43957,,,8.9523,17.143751,6.17,Cnc
43970,,Omi-1,8.954152,15.322762,5.22,Cnc
44001,,Omi-2,8.959777,15.581281,5.68,Cnc
44010,,,8.961673,9.387764,6.19,Cnc
44031,,,8.966295,30.233826,6.25,Cnc
44066,Acubens,Alp,8.974784,11.857701,4.26,Cnc
44126,,,8.986314,18.134867,6.3,Cnc
44148,,,8.990801,13.074391,6.49,Cnc
44154,,Sig-3,8.992405,32.418559,5.23,Cnc
44307,,,9.023369,32.252296,5.89,Cnc
44342,,,9.030234,27.902593,6.07,Cnc
44405,,Nu,9.045629,24.452915,5.45,Cnc
44406,,,9.045783,7.298267,5.85,Cnc
44574,,,9.081968,32.376833,6.46,Cnc
44768,,,9.124143,22.980872,6.39,Cnc
44798,,Kap,9.129115,10.668191,5.23,Cnc
44818,,Tau,9.133348,29.654235,5.42,Cnc
44825,,,9.13449,32.540399,6.47,Cnc
44892,,,9.146483,26.629112,5.95,Cnc
44946,Nahn,Xi,9.155982,22.045446,5.16,Cnc
44984,,,9.162896,11.564377,6.48,Cnc
45033,,,9.172461,21.996415,6.04,Cnc
45058,,,9.177444,30.963139,6.04,Cnc
45170,,Pi-1,9.204878,14.996037,6.49,Cnc
45272,,,9.227017,21.283206,6.48,Cnc
45410,,Pi-2,9.253848,14.941507,5.36,Cnc
45614,,,9.297599,11.501146,6.4,Cnc
45896,,,9.35755,32.902151,6.16,Cnc
46058,,,9.392162,25.18284,6.41,Leo
46146,,Kap,9.410906,26.182324,4.47,Leo
46232,,,9.425695,16.585588,6.31,Leo
46454,,Ome,9.474278,9.056778,5.4,Leo
46457,,,9.474771,8.188298,5.72,Leo
46750,Alterf,Lam,9.528675,22.967971,4.32,Leo
46771,,Xi,9.532428,11.299827,4.99,Leo
46774,,,9.53266,9.715767,5.07,Leo
46891,,,9.555082,28.36794,6.5,Leo
46938,,,9.566429,23.453919,6.26,Leo
47096,,,9.598024,14.379588,6.32,Leo
47168,,,9.611903,31.161734,5.57,Leo
47189,,,9.617384,16.437952,5.73,Leo
47205,,,9.620185,6.835802,5.0,Leo
47508,Subra,Omi,9.685843,9.892308,3.52,Leo
47544,,,9.693087,31.277817,5.9,Leo
47550,,,9.694024,25.912876,6.26,Leo
47701,,,9.725906,29.974473,5.64,Leo
47723,,Psi,9.728862,14.021692,5.36,Leo
47779,,,9.741668,18.863492,6.49,Leo
47908,Ras Elased Australis,Eps,9.764188,23.774255,2.97,Leo
47943,,,9.769457,6.708556,5.8,Leo
47959,,,9.773147,11.810043,5.67,Leo
48023,,,9.789499,23.647686,6.49,Leo
48029,,,9.790546,11.568165,6.44,Leo
48218,,,9.830582,21.179422,6.1,Leo
48324,,,9.850551,13.066239,6.45,Leo
48390,,,9.864732,24.395369,5.29,Leo
48455,Rasalas,Mu,9.879398,26.006951,3.88,Leo
48734,,,9.940549,8.933157,5.85,Leo
48876,,,9.968786,8.313979,6.05,Leo
48883,,Nu,9.970382,12.4448,5.26,Leo
48895,,,9.973902,27.758999,6.48,Leo
48982,,,9.993395,29.645233,5.75,Leo
49029,,Pi,10.003557,8.044223,4.68,Leo
49220,,,10.046931,21.949258,5.68,Leo
49445,,,10.0947,15.757506,6.36,Leo
49583,,Eta,10.122209,16.762664,3.48,Leo
49637,,,10.131742,9.997508,4.39,Leo
49669,Regulus,Alp,10.139532,11.967207,1.36,Leo
49929,,,10.193947,13.355114,6.43,Leo
50109,,,10.230474,27.135819,6.05,Leo
50174,,,10.241598,21.168058,6.02,Leo
50319,,,10.275639,23.503095,5.95,Leo
50333,,,10.277983,13.728334,5.42,Leo
50335,Adhafera,Zet,10.278171,23.417311,3.43,Leo
50336,,,10.278268,25.370705,5.84,Leo
50384,,,10.287378,23.10622,5.81,Leo
50516,,,10.316864,24.712138,6.42,Leo
50564,,,10.328938,19.470914,4.78,Leo
50583,Algieba,Gam-1,10.332873,19.841489,2.01,Leo
50755,,,10.363973,14.975773,6.16,Leo
50851,,,10.383458,6.542643,6.06,Leo
51008,,,10.420887,8.784845,5.61,Leo
51161,,,10.450135,19.364538,6.15,Leo
51213,,,10.460831,9.762396,6.01,Leo
51585,,,10.536604,14.13727,5.43,Leo
51624,,Rho,10.546853,9.306586,3.84,Leo
51775,,,10.580004,6.953749,5.07,Leo
51802,,,10.583933,8.650425,5.67,Leo
52513,,,10.737375,19.758834,6.27,Leo
52660,,,10.768245,6.373183,6.38,Leo
52686,,,10.773484,18.891523,5.5,Leo
52689,,,10.773689,14.194645,5.49,Leo
52911,,,10.820953,10.545202,5.32,Leo
53141,,,10.87047,1.024973,6.37,Leo
53167,,,10.876692,-0.201657,6.31,Leo
53240,,,10.890267,-2.255209,6.12,Leo
53273,,,10.895476,-2.129205,5.45,Leo
53417,,,10.92689,24.749718,4.3,Leo
53423,,,10.928444,0.736922,5.91,Leo
53449,,,10.933742,6.185371,5.91,Leo
53472,,,10.938015,22.351682,6.17,Leo
53807,,,11.009347,3.617494,4.84,Leo
53824,,,11.012445,6.101449,4.98,Leo
53907,,,11.030465,-2.484585,4.73,Leo
53954,,,11.038827,20.179842,4.42,Leo
54027,,,11.054039,-0.752344,6.12,Leo
54049,,,11.060164,-0.000833,5.95,Leo
54182,,Chi,11.083619,7.336007,4.62,Leo
54319,,,11.11223,17.737364,6.4,Leo
54336,,,11.115058,1.955525,5.52,Leo
54388,,,11.127696,23.323762,6.48,Leo
54487,,,11.146969,24.658464,5.7,Leo
54688,,,11.195488,14.400153,6.3,Leo
54849,,,11.22932,-0.069502,5.4,Leo
54863,,,11.233843,8.060695,5.79,Leo
54872,Zosma,Del,11.235138,20.523717,2.56,Leo
54879,Chertan,The,11.237335,15.42957,3.33,Leo
54951,,,11.253397,23.095502,4.56,Leo
55016,,,11.264417,13.307578,5.31,Leo
55084,,Phi,11.277695,-3.651601,4.45,Leo
55137,,,11.288167,2.010556,5.18,Leo
55249,,,11.315266,1.650395,5.9,Leo
55434,,Sig,11.352276,6.029322,4.05,Leo
55595,,,11.38832,0.13205,6.05,Leo
55642,,Iot,11.398736,10.529509,4.0,Leo
55650,,,11.400646,1.407765,5.39,Leo
55716,,,11.416369,11.430292,5.8,Leo
55765,,,11.426771,16.456539,5.58,Leo
55791,,,11.430571,3.86011,6.35,Leo
55846,,,11.445923,3.013102,6.49,Leo
55941,,,11.464919,-1.699946,6.23,Leo
55945,,Tau,11.465622,2.856265,4.95,Leo
56080,,,11.494957,15.413269,5.74,Leo
56127,,,11.505248,-3.003501,4.77,Leo
56146,,,11.508065,18.409801,5.54,Leo
56242,,,11.529153,14.364505,6.27,Leo
56388,,,11.560096,2.499034,6.49,Leo
56445,,,11.572764,3.060165,5.76,Leo
56473,,,11.57847,16.796915,5.95,Leo
56500,,,11.583029,-4.361291,6.43,Leo
56508,Formosa,,11.584377,20.441545,6.45,Leo
56601,,,11.604987,27.781351,5.8,Leo
56647,,Ups,11.615814,-0.823749,4.3,Leo
56756,,,11.636064,8.883792,6.18,Vir
56775,,,11.640019,-2.435901,6.22,Vir
56779,,Ome,11.641002,8.134298,5.24,Vir
56975,,,11.679742,21.35273,5.26,Leo
57214,,,11.731978,-6.677162,6.05,Vir
57240,,,11.73699,25.218327,6.02,Leo
57328,,Xi,11.754733,8.258119,4.84,Vir
57380,,Nu,11.764322,6.529376,4.04,Vir
57562,,,11.798584,8.245895,5.31,Vir
57565,,,11.799762,20.218931,4.5,Leo
57606,,,11.810753,14.28421,5.9,Leo
57629,,,11.817023,-0.31867,6.15,Vir
57632,Denebola,Bet,11.817663,14.57206,2.14,Leo
57646,,,11.820774,16.242882,6.05,Leo
57757,Zavijava,Bet,11.844922,1.764718,3.59,Vir
57779,,,11.848706,12.279037,6.37,Leo
57791,,,11.85062,-5.333332,5.62,Vir
58002,,,11.897299,0.552114,6.31,Vir
58110,,,11.917537,8.443943,5.58,Vir
58159,,,11.927926,15.646818,5.53,Leo
58445,,,11.98426,0.53068,6.18,Vir
58450,,,11.985936,-10.475896,6.49,Vir
58510,,,11.999142,3.655197,5.36,Vir
58576,,,12.012347,-10.446014,5.54,Vir
58590,,Pi,12.014553,6.614322,4.65,Vir
58603,,,12.017149,-1.768166,6.32,Vir
58741,,,12.047684,-7.683623,6.24,Vir
58809,,,12.062345,5.55775,6.39,Vir
58948,,Omi,12.086817,8.732985,4.12,Vir
59010,,,12.099948,-3.131591,6.37,Vir
59285,,,12.161475,1.897889,5.95,Vir
59309,,,12.167616,5.807008,5.72,Vir
59608,,,12.223872,10.262341,5.85,Vir
59750,,,12.252933,-10.3124,6.11,Vir
60030,,,12.311199,-0.787184,5.9,Vir
60129,Zaniah,Eta,12.331766,-0.666803,3.89,Vir
60172,,,12.339161,3.312574,4.97,Vir
60353,,,12.375566,5.305444,6.46,Vir
60418,,,12.387602,-4.974503,6.47,Vir
60595,,,12.419935,-11.61059,5.95,Vir
60804,,,12.461689,8.610344,6.36,Vir
60813,,,12.464319,-4.615277,6.23,Vir
61103,,,12.522616,7.604309,6.05,Vir
61134,,,12.527423,-5.052592,6.19,Vir
61246,,,12.5508,10.295671,6.29,Vir
61318,,,12.562986,-9.452077,5.48,Vir
61558,,,12.613154,-5.831898,5.88,Vir
61637,,,12.63456,3.282444,6.33,Vir
61658,,,12.639557,1.854662,5.68,Vir
61740,,Chi,12.654102,-7.995564,4.66,Vir
61937,,,12.692887,10.42627,6.22,Vir
61941,Porrima,Gam,12.694345,-1.449375,2.74,Vir
61960,,Rho,12.698071,10.235625,4.88,Vir
61968,,,12.699199,6.806617,5.57,Vir
62103,,,12.727236,-1.576996,5.91,Vir
62267,,,12.760294,7.673326,5.22,Vir
62325,,,12.772928,9.539684,5.65,Vir
62376,,,12.783974,5.950373,6.31,Vir
62394,,,12.787123,11.958088,6.11,Vir
62421,,,12.792618,-6.301752,6.27,Vir
62443,,,12.797614,3.572716,6.42,Vir
62743,,,12.856369,-10.338219,6.48,Vir
62757,,,12.860247,3.056788,6.02,Vir
62875,,,12.886433,-3.553098,6.11,Vir
62915,,,12.893923,-4.224662,6.45,Vir
62933,,,12.897142,12.418416,6.25,Vir
62983,,,12.905184,-11.64857,6.0,Vir
62985,,Psi,12.905879,-9.538994,4.77,Vir
63090,Minelauva,Del,12.926725,3.39747,3.39,Vir
63220,,,12.95352,-12.066947,6.33,Vir
63414,,,12.99431,-3.811926,5.79,Vir
63494,,,13.009985,-3.368488,5.99,Vir
63608,Vindemiatrix,Eps,13.036278,10.95915,2.85,Vir
63738,,,13.062808,-20.583497,5.58,Vir
64078,,,13.131614,-10.740408,5.15,Vir
64122,,,13.142352,-8.984385,5.57,Vir
64179,,,13.153454,10.022468,5.79,Vir
64181,,,13.153955,-9.538098,6.32,Vir
64224,,,13.162578,-10.329327,5.95,Vir
64238,,The,13.165831,-5.53901,4.38,Vir
64407,,,13.200984,-16.198601,5.04,Vir
64445,,,13.209145,11.556096,5.76,Vir
64520,,,13.224121,-18.826406,6.26,Vir
64577,,,13.236361,-19.930947,5.31,Vir
64607,,,13.242023,11.331656,5.64,Vir
64725,,,13.266322,-19.943103,5.21,Vir
64792,,,13.279588,9.424156,5.19,Vir
64823,,,13.287674,13.675751,5.33,Vir
64838,,,13.291626,-0.676065,6.36,Vir
64852,,Sig,13.293412,5.469869,4.78,Vir
64924,,,13.306763,-18.311196,4.74,Vir
65119,,,13.34488,2.94229,6.26,Vir
65183,,,13.35827,-19.489294,6.21,Vir
65198,,,13.361567,2.087243,5.69,Vir
65241,,,13.369358,5.154764,5.89,Vir
65301,,,13.383643,-17.735274,5.36,Vir
65323,,,13.388582,-4.924427,5.88,Vir
65381,,,13.39919,-20.924587,6.44,Vir
65417,,,13.408481,12.431832,6.44,Vir
65420,,,13.40923,-5.16401,5.76,Vir
65474,Spica,Alp,13.419883,-11.161322,0.98,Vir
65545,,,13.436504,-1.192471,5.97,Vir
65581,,,13.445325,-12.707664,5.27,Vir
65639,,,13.457546,-15.973578,4.76,Vir
65721,,,13.473837,13.778787,4.97,Vir
65790,,,13.486945,10.81831,5.65,Vir
65796,,,13.487477,-1.364428,6.42,Vir
65862,,,13.500022,7.178853,6.18,Vir
65892,,,13.507146,-6.470265,6.1,Vir
66006,,,13.532746,-6.255816,4.68,Vir
66015,,,13.534114,-18.72888,6.01,Vir
66091,,,13.547679,-15.363012,5.52,Vir
66098,,,13.549465,-10.165,5.21,Vir
66200,,,13.56887,3.658967,4.92,Vir
66247,,,13.577903,-13.214324,5.92,Vir
66249,Heze,Zet,13.57822,-0.59582,3.38,Vir
66320,,,13.592027,-5.396191,5.7,Vir
66326,,,13.592618,10.204962,6.48,Vir
66803,,,13.693549,-8.702984,5.03,Vir
66936,,,13.717698,3.537903,5.35,Vir
67057,,,13.741618,-16.179072,5.55,Vir
67139,,,13.759741,-15.767467,6.18,Vir
67172,,,13.765644,-12.426528,5.5,Vir
67246,,,13.782534,6.350375,6.33,Vir
67271,,,13.787057,-9.709455,6.04,Vir
67288,,,13.790386,-17.859839,5.41,Vir
67494,,,13.831191,-18.134168,4.96,Vir
67545,,,13.840189,5.497224,6.0,Vir
67929,,,13.911707,-1.503125,5.16,Vir
67953,,,13.916167,-8.058852,6.19,Vir
68092,,,13.941077,1.050581,5.9,Vir
68380,,,13.997022,-3.549788,6.36,Vir
68520,,Tau,14.027443,1.544532,4.23,Vir
68643,,,14.051132,-17.367012,6.32,Vir
68705,,,14.064747,-22.421602,6.3,Vir
68707,,,14.065488,4.900973,6.24,Vir
68739,,,14.070711,-5.381416,6.39,Vir
68763,,,14.074161,-14.971708,6.35,Vir
68776,,,14.077063,2.297531,6.28,Vir
68940,,,14.111896,-9.313515,5.46,Vir
69127,,,14.150165,-10.334546,6.45,Vir
69269,,,14.18069,-16.30203,4.93,Vir
69340,,,14.192001,1.362399,6.42,Vir
69389,,,14.20439,2.409433,4.99,Vir
69427,Kang,Kap,14.214929,-10.273702,4.18,Vir
69493,,,14.227997,-0.845463,5.89,Vir
69564,,,14.239253,-5.947717,6.36,Vir
69614,,,14.248061,3.335878,6.41,Vir
69658,,,14.256691,-18.20069,5.53,Vir
69701,Syrma,Iot,14.266908,-6.000547,4.07,Vir
69727,,,14.272606,-6.621544,6.44,Vir
69747,,,14.275046,-3.196305,6.15,Vir
69773,,,14.280204,-8.884473,6.47,Vir
69792,,,14.284386,-18.5857,6.22,Vir
69881,,,14.300201,-7.542388,6.47,Vir
69929,,,14.310627,-18.715968,5.86,Vir
69974,Khambalia,Lam,14.318498,-13.371095,4.52,Vir
70012,,Ups,14.325689,-2.265518,5.14,Vir
70022,,,14.328042,0.384333,6.18,Vir
70038,,,14.331445,-6.746167,6.42,Vir
70319,,,14.387579,1.241569,6.25,Vir
70336,,,14.390452,-11.714043,6.22,Lib
70400,,,14.403151,5.820131,5.1,Vir
70452,,,14.411348,-11.669703,6.49,Lib
70469,,,14.413508,-24.80631,5.34,Lib
70501,,,14.421554,-13.353163,6.49,Lib
70680,,,14.456774,-6.120332,6.18,Vir
70755,Elgafar,Phi,14.470038,-2.227957,4.81,Vir
70794,,,14.478256,-6.900536,5.42,Vir
70894,,,14.497366,0.828929,5.96,Vir
70949,,,14.512608,4.772286,6.01,Vir
71295,,,14.580758,-20.439381,6.49,Lib
71469,,,14.616608,-12.305349,6.2,Lib
71510,,,14.624574,2.277238,6.45,Vir
71957,,Mu,14.717673,-5.658207,3.87,Vir
71974,,,14.720431,-24.997753,5.7,Lib
72122,,,14.753252,-1.417529,6.06,Vir
72154,,,14.75839,0.717271,5.68,Vir
72194,,,14.766044,-15.459541,6.33,Lib
72210,,,14.768547,-23.153018,5.8,Lib
72217,,,14.76969,-21.175966,6.43,Lib
72220,,,14.770812,1.892885,3.73,Vir
72310,,,14.787125,-21.324871,6.05,Lib
72373,,,14.798597,-12.840007,6.34,Lib
72449,,,14.815026,-0.847655,6.15,Lib
72488,,,14.821874,-24.25147,5.68,Lib
72489,,Mu,14.821959,-14.149022,5.32,Lib
72603,,Alp-1,14.844773,-15.997237,5.15,Lib
72622,Zubenelgenubi,Alp-2,14.847977,-16.041778,2.75,Lib
72629,,,14.850026,-0.257491,6.18,Vir
72631,,,14.850298,-2.29915,4.93,Lib
72702,,,14.864252,-18.355325,6.27,Lib
72929,,,14.905592,-24.642202,5.27,Lib
72934,,Xi-1,14.906354,-11.898348,5.78,Lib
73133,,Xi-2,14.946142,-11.409701,5.48,Lib
73165,,,14.953055,-4.346462,4.47,Lib
73184,,,14.957765,-21.415475,5.72,Lib
73193,,,14.959236,-0.167612,5.51,Vir
73309,,,14.981329,-4.989256,6.08,Lib
73310,,,14.98155,-11.144014,5.88,Lib
73350,,,14.989754,4.567761,5.91,Vir
73473,,Del,15.016208,-8.518943,4.91,Lib
73497,,,15.022174,-2.754927,5.52,Lib
73536,,,15.030255,-0.140295,5.71,Vir
73571,,,15.035715,-7.575299,6.38,Lib
73620,,,15.048344,2.091303,4.39,Vir
73714,Brachium,Sig,15.067839,-25.281965,3.25,Lib
73927,,,15.107539,-22.03183,6.13,Lib
73945,,Nu,15.110444,-16.256818,5.19,Lib
73953,,,15.113628,-16.484361,6.41,Lib
74026,,,15.127868,5.498035,6.16,Vir
74239,,,15.171843,-26.332621,5.75,Lib
74391,,,15.203337,-19.106482,6.49,Lib
74392,,Iot-1,15.203692,-19.79171,4.54,Lib
74490,,,15.221503,-24.008322,6.47,Lib
74493,,Iot-2,15.221997,-19.647572,6.07,Lib
74500,,,15.224637,-25.309347,6.47,Lib
74539,,,15.231476,-26.193569,5.84,Lib
74600,,,15.242711,-17.768572,6.18,Lib
74623,,,15.247388,-5.502555,6.28,Lib
74732,,,15.273059,-22.399416,5.52,Lib
74785,Zubeneschamali,Bet,15.283449,-9.382917,2.61,Lib
75110,,,15.348244,-18.158658,6.16,Lib
75118,,Omi,15.350382,-15.548342,6.14,Lib
75127,,,15.352114,-5.824853,5.54,Lib
75272,,,15.379224,-29.341935,6.5,Lib
75294,,,15.383829,-15.134036,6.46,Lib
75352,,,15.397844,-12.369501,5.72,Lib
75379,,Eps,15.403303,-10.322266,4.92,Lib
75730,,Zet-1,15.470947,-16.716484,5.64,Lib
75790,,,15.482962,-28.866891,6.43,Lib
75939,,,15.51007,-20.728553,6.2,Lib
75944,,Zet-3,15.511223,-16.609464,5.82,Lib
76033,,,15.528725,-20.164922,6.28,Lib
76106,,,15.543528,-19.67046,5.5,Lib
76126,,Zet-4,15.548673,-16.852844,5.53,Lib
76143,,,15.552644,-24.490433,6.26,Lib
76219,,,15.569638,-10.064529,4.61,Lib
76243,,,15.574032,-9.183416,5.16,Lib
76259,,,15.577033,-28.046983,5.13,Lib
76333,Zubenelhakrabi,Gam,15.592105,-14.789537,3.91,Lib
76470,,Ups,15.61707,-28.135079,3.6,Lib
76503,,,15.624583,-26.279864,6.19,Lib
76532,,,15.630011,-23.141698,5.79,Lib
76567,,,15.637725,-28.206666,6.32,Lib
76569,,,15.637855,-21.016327,5.82,Lib
76600,,Tau,15.64427,-29.777754,3.66,Lib
76603,,,15.644467,-8.79149,6.45,Lib
76628,,,15.648488,-19.301892,5.36,Lib
76666,,,15.655937,-23.150224,6.33,Lib
76742,,,15.67136,-23.818078,4.97,Lib
76880,,Kap,15.699111,-19.678828,4.75,Lib
77007,,,15.723572,-15.04323,6.3,Lib
77060,,Eta,15.734556,-15.672834,5.41,Lib
77235,,,15.770238,-28.061481,6.49,Lib
77287,,,15.779285,-6.120355,6.24,Lib
77464,,,15.815777,-3.818513,5.53,Lib
77635,,,15.849652,-25.751295,4.63,Sco
77689,,,15.860666,-14.133584,6.2,Lib
77811,,Lam,15.888905,-20.16704,5.04,Lib
77840,,,15.893533,-25.327142,4.59,Sco
77853,,The,15.897093,-16.729293,4.13,Lib
77858,,,15.89831,-24.533157,5.38,Sco
77859,,,15.898851,-23.978094,5.41,Sco
77900,,,15.908364,-27.338639,6.15,Sco
77909,,,15.910981,-25.243741,5.87,Sco
77939,,,15.916768,-19.382926,5.95,Lib
77984,,,15.925023,-26.265993,5.63,Sco
78059,,,15.937342,-14.399402,6.32,Lib
78078,,,15.942604,-14.829438,6.11,Lib
78104,Iklil,Rho,15.948077,-29.214073,3.87,Sco
78168,,,15.96124,-20.98308,5.84,Sco
78207,,,15.969825,-14.279358,4.95,Lib
78246,,,15.976352,-24.831488,5.43,Sco
78265,Fang,Pi,15.980865,-26.114105,2.89,Sco
78400,,,16.005447,-16.53335,5.47,Lib
78401,Dschubba,Del,16.005557,-22.62171,2.29,Sco
78436,,,16.013231,-8.411353,5.53,Lib
78575,,,16.044283,-29.1358,6.07,Sco
78650,,,16.05573,-25.86524,4.96,Sco
78699,,,16.065195,-24.726312,6.22,Sco
78820,Acrab,Bet-1,16.09062,-19.805453,2.56,Sco
78821,Acrab B,Bet-2,16.09071,-19.80186,4.9,Sco
78877,,,16.101772,-23.606315,5.9,Sco
78933,,Ome-1,16.113452,-20.669192,3.93,Sco
78955,,,16.117604,-14.071292,6.32,Sco
78990,,Ome-2,16.123424,-20.868764,4.31,Sco
79005,,,16.126782,-12.74541,5.75,Sco
79031,,,16.13108,-24.462349,6.32,Sco
79050,,,16.135439,-26.326679,5.35,Sco
79098,,,16.145478,-23.685416,5.86,Sco
79173,,,16.158818,-32.649012,6.18,Sco
79199,,,16.164609,-33.545805,5.5,Sco
79203,,,16.165354,-18.34062,6.43,Sco
79302,,,16.18391,-29.41622,5.09,Sco
79320,,,16.188256,-41.119803,5.86,Sco
79374,Jabbah,Nu,16.199926,-19.460708,4.0,Sco
79375,,Psi,16.199997,-10.064253,4.93,Sco
79387,,,16.202032,-8.547576,5.43,Sco
79399,,,16.204456,-28.417305,5.67,Sco
79404,,,16.205057,-27.926372,4.58,Sco
79530,,,16.229305,-24.422092,6.4,Sco
79540,,Chi,16.230807,-11.837747,5.24,Sco
79596,,,16.239546,-33.011088,5.91,Sco
79599,,,16.241357,-21.107636,6.41,Sco
79605,,,16.244235,-18.535649,6.32,Sco
79622,,,16.248175,-25.476976,6.06,Sco
79672,,,16.260352,-8.369442,5.49,Sco
79692,,,16.264304,-14.849115,6.09,Sco
79788,,,16.283111,-20.104088,6.4,Sco
79881,,,16.304973,-28.61402,4.8,Sco
79938,,,16.316783,-14.872825,5.97,Sco
79945,,,16.318811,-20.218072,6.29,Sco
79980,,,16.325758,-30.906716,5.53,Sco
80066,,,16.342394,-39.430344,6.11,Sco
80079,,Omi,16.343939,-24.16932,4.55,Sco
80112,Alniyat,Sig,16.353143,-25.592796,2.9,Sco
80324,,,16.399089,-33.199396,6.45,Sco
80337,,,16.400355,-39.19298,5.37,Sco
80390,,,16.408821,-37.566044,5.42,Sco
80399,,,16.411046,-29.704663,5.4,Sco
80672,,,16.470685,-37.179881,5.79,Sco
80763,Antares,Alp,16.490128,-26.432002,1.06,Sco
80815,,,16.503466,-25.115224,4.79,Sco
80910,,,16.523015,-26.537643,6.07,Sco
80911,,,16.523037,-34.704366,4.24,Sco
80945,,,16.528269,-41.817145,5.31,Sco
81198,,,16.585487,-45.244366,6.43,Sco
81266,Paikauhale,Tau,16.598043,-28.216016,2.82,Sco
81304,,,16.606242,-35.255326,4.18,Sco
81305,,,16.606268,-42.858861,5.46,Sco
81472,,,16.640637,-43.398426,5.83,Sco
81523,,,16.651452,-37.21737,5.93,Sco
81741,,,16.695961,-33.145759,5.84,Sco
81803,,,16.708082,-37.079353,6.47,Sco
81891,,,16.727423,-32.105945,6.46,Sco
81903,,,16.729357,-41.119204,6.21,Sco
81904,,,16.729888,-38.156346,6.05,Sco
81914,,,16.731689,-41.113344,6.14,Sco
81972,,,16.745165,-40.839675,5.64,Sco
81992,,,16.750053,-28.509657,5.99,Sco
82135,,,16.779989,-39.376962,5.48,Sco
82396,Larawag,Eps,16.83608,-34.293232,2.29,Sco
82453,,,16.85001,-37.514512,6.1,Sco
82493,,,16.859367,-41.230534,5.23,Sco
82514,Xamidimura,Mu-1,16.864509,-38.04738,3.0,Sco
82543,,,16.872013,-41.854514,6.36,Sco
82545,Pipirima,Mu-2,16.872263,-38.017536,3.56,Sco
82554,,,16.874283,-40.723153,6.35,Sco
82650,,,16.895119,-43.050968,5.95,Sco
82669,,,16.899682,-41.994327,6.28,Sco
82671,,Zet-1,16.899924,-42.362025,4.7,Sco
82676,,,16.90051,-41.806389,5.46,Sco
82691,,,16.902795,-41.82504,6.07,Sco
82716,,,16.907484,-42.478891,5.84,Sco
82729,,Zet-2,16.909731,-42.361313,3.62,Sco
82731,,,16.909988,-30.58734,6.34,Sco
82775,,,16.916251,-41.150858,5.78,Sco
82783,,,16.917592,-42.090831,6.3,Sco
82855,,,16.932708,-33.506873,6.29,Sco
82911,,,16.943327,-40.823453,6.18,Sco
82960,,,16.953104,-33.259492,5.48,Sco
83100,,,16.981183,-37.620508,6.05,Sco
83202,,,17.003958,-44.988548,6.5,Sco
83235,,,17.010275,-35.934133,5.95,Sco
83336,,,17.03129,-32.143519,5.03,Sco
83491,,,17.064146,-38.152572,5.91,Sco
83499,,,17.06577,-37.844143,6.48,Sco
83574,,,17.080376,-34.12293,4.83,Sco
83594,,,17.084826,-45.502127,6.28,Sco
83650,,,17.096798,-44.105042,6.18,Sco
83693,,,17.105608,-37.22759,5.98,Sco
83706,,,17.10788,-35.451046,6.15,Sco
83896,,,17.146539,-30.40373,5.93,Sco
84033,,,17.178425,-44.557719,5.06,Sco
84143,,Eta,17.202552,-43.239189,3.32,Sco
84150,,,17.204502,-39.506949,5.66,Sco
84151,,,17.204601,-38.822535,6.3,Sco
84226,,,17.216266,-32.438332,5.95,Sco
84332,,,17.241015,-39.76665,6.42,Sco
84401,,,17.255346,-33.54842,5.6,Sco
84425,,,17.259994,-38.593896,5.95,Sco
84445,,,17.264264,-30.210731,6.2,Sco
84489,,,17.272671,-35.750297,6.09,Sco
84551,,,17.284349,-32.66284,5.53,Sco
84556,,,17.284872,-44.778595,6.46,Sco
84650,,,17.305697,-32.553107,6.36,Sco
84690,,,17.313287,-44.129746,5.76,Sco
84709,,,17.315842,-34.989792,5.91,Sco
